m3.medium,0.0276781,1
m3.large,0.0246511,1
m3.xlarge,0.05778526,2
m3.2xlarge,0.1179384,4
m4.large,0.0335183,1
m4.xlarge,0.06391642,2
m4.2xlarge,0.1230116,4
m4.4xlarge,0.32759773,8
m4.10xlarge,0.45441007,20
r3.large,0.0288131,1
r3.xlarge,0.05028497,2
r3.2xlarge,0.1261046,4
r3.4xlarge,0.2420603,8
r3.8xlarge,0.4860342,16
i2.xlarge,0.0904014,2
i2.2xlarge,0.1841451,4
i2.4xlarge,0.4404476,8
i2.8xlarge,0.792211,16
c3.large,0.0204649,1
c3.xlarge,0.0489448,2
c3.2xlarge,0.1406785,4
c3.4xlarge,0.1711935,8
c3.8xlarge,0.3708741,16
c4.large,0.02335676,1
c4.xlarge,0.0485119,2
c4.2xlarge,0.0845203,4
c4.4xlarge,0.2138828,8
c4.8xlarge,0.46678034,18
d2.xlarge,0.0799028,2
d2.2xlarge,0.1718768,4
d2.4xlarge,0.36388248,8
d2.8xlarge,0.6156979,18
g2.2xlarge,0.289019134,1
g2.8xlarge,3.3151063,1
